# profile=closed rate=0.0 seed=11 prompt_mean=2048 output_mean=6144
# arrival_ms  prompt_tokens  output_tokens
0.0	1805	10248
0.0	1948	3371
0.0	2807	3541
0.0	2174	7563
0.0	1961	4050
0.0	1137	4149
0.0	1988	5549
0.0	1859	13641
0.0	1668	4660
0.0	2514	8587
0.0	3066	10274
0.0	964	7453
0.0	1328	3754
0.0	2392	6031
0.0	963	2495
0.0	1294	4098
0.0	693	3840
0.0	3489	4119
0.0	2458	4685
0.0	1068	3375
0.0	1673	11031
0.0	2694	4156
0.0	1599	11686
0.0	1827	2802
0.0	841	6169
0.0	959	3606
0.0	2452	6276
0.0	2639	5310
0.0	1415	5920
0.0	901	7920
0.0	1851	2696
0.0	3114	3861
0.0	1519	10708
0.0	2175	6536
0.0	957	7406
0.0	2697	4179
0.0	1897	7529
0.0	4572	3445
0.0	1553	13949
0.0	1395	3722
0.0	1401	8945
0.0	2072	3178
0.0	1639	5268
0.0	1437	6726
0.0	967	10955
0.0	2578	2737
0.0	1873	7752
0.0	2216	7426
0.0	2212	5424
0.0	1104	6791
0.0	1563	7628
0.0	2553	3740
0.0	1282	16292
0.0	1622	10524
0.0	2159	14259
0.0	2603	6363
0.0	2673	3120
0.0	2194	5497
0.0	2394	3045
0.0	1494	5814
0.0	3716	10939
0.0	1352	3055
0.0	2294	10145
0.0	1604	11873
0.0	2034	5870
0.0	2055	11739
0.0	1426	6107
0.0	2177	5842
0.0	1480	3339
0.0	1886	2976
0.0	1518	6870
0.0	1532	3062
0.0	1598	5788
0.0	1696	5704
0.0	1190	6969
0.0	3316	7949
0.0	4131	8746
0.0	1086	4520
0.0	2719	7172
0.0	1600	5653
0.0	1936	6028
0.0	2021	4089
0.0	1748	4320
0.0	1957	6008
0.0	4181	3538
0.0	2452	4188
0.0	1941	17266
0.0	2194	6484
0.0	3731	8355
0.0	3184	7836
0.0	2224	4411
0.0	1220	7381
0.0	2239	7394
0.0	1990	10657
0.0	2511	4056
0.0	1773	6005
0.0	2456	3377
0.0	1299	6082
0.0	3056	5845
0.0	1720	7291
0.0	1217	2423
0.0	2253	5003
0.0	2408	7672
0.0	2066	6622
0.0	1963	4861
0.0	1857	6194
0.0	2749	7040
0.0	3036	4782
0.0	2486	6733
0.0	2324	4082
0.0	2092	5748
0.0	2091	4601
0.0	1478	17902
0.0	3155	7227
0.0	1811	8111
0.0	1527	5081
0.0	2076	6809
0.0	2304	2883
0.0	1342	9794
0.0	1654	3719
0.0	1758	8079
0.0	2995	7773
0.0	1605	4095
0.0	1696	4867
0.0	1265	9146
0.0	3057	1970
0.0	2648	2592
0.0	2048	6584
0.0	974	6466
0.0	942	5959
0.0	1750	5493
0.0	3034	9561
0.0	3467	5916
0.0	2636	5167
0.0	1760	3733
0.0	1313	2385
0.0	2357	2974
0.0	3360	4067
0.0	1098	6101
0.0	1480	1957
0.0	1499	8886
0.0	2811	12996
0.0	1900	8105
0.0	1993	6512
0.0	1103	3408
0.0	2666	4056
0.0	1667	10007
0.0	1425	3570
0.0	2224	5394
0.0	2621	8144
0.0	2467	5958
0.0	1634	3465
0.0	1797	3927
0.0	1303	2275
0.0	3413	3033
0.0	2272	6083
0.0	2416	6299
0.0	1638	4389
0.0	1586	4389
0.0	2369	12183
0.0	2355	7331
0.0	2776	3672
0.0	3165	3687
0.0	1522	5138
0.0	2993	5694
0.0	4717	4867
0.0	1825	4300
0.0	2463	3185
0.0	1468	3407
0.0	1978	10594
0.0	3291	4421
0.0	909	15258
0.0	2118	3626
0.0	2241	4547
0.0	2044	5915
0.0	3108	3473
0.0	2458	5778
0.0	2209	9190
0.0	1618	3590
0.0	1358	5924
0.0	1957	6006
0.0	2104	6479
0.0	1868	7552
0.0	3595	724
0.0	1749	9503
0.0	1990	3214
0.0	1718	8664
0.0	2394	6000
0.0	1281	5571
0.0	1966	4335
0.0	1624	14474
0.0	1511	2378
0.0	2918	2962
0.0	1546	4806
0.0	1750	5950
0.0	1530	5406
0.0	2590	8315
0.0	1888	2969
0.0	2346	6715
0.0	1858	4078
0.0	2254	4023
0.0	3087	4149
0.0	3382	4116
0.0	1327	5035
0.0	1964	6182
0.0	900	3555
0.0	2361	3807
0.0	1756	1577
0.0	1926	6271
0.0	1505	8725
0.0	1968	7470
0.0	2355	6192
0.0	1645	16012
0.0	1412	3325
0.0	1925	7215
0.0	2714	4149
0.0	1084	5072
0.0	950	6238
0.0	2423	3735
0.0	1290	6762
0.0	1366	3951
0.0	995	3124
0.0	1736	5367
0.0	1734	3475
0.0	2530	4935
0.0	1833	11923
0.0	1550	5853
0.0	1368	4739
0.0	1212	6277
0.0	1415	11039
0.0	2966	3279
0.0	1389	3965
0.0	1263	4008
0.0	1395	4249
0.0	2533	5036
0.0	2306	3980
0.0	830	6968
0.0	1745	9399
0.0	3429	4442
0.0	1218	5640
0.0	1771	5991
0.0	1583	5774
0.0	2278	9352
0.0	1475	3076
0.0	1755	7998
0.0	1592	7245
0.0	2893	2743
0.0	2571	6212
0.0	1793	3201
0.0	1569	4536
0.0	1722	2574
0.0	1621	4494
0.0	1165	7862
0.0	1738	3151
0.0	1133	6290
0.0	1674	3160
